death,injuries,property_large,property_medium,property_small,keyword,label
0,5,1,0,0,0.19047619047619047,2
17,3,1,0,0,0.09523809523809523,2
12,4,3,0,0,0.16666666666666666,2
18,2,3,1,0,0.08695652173913043,2
16,3,2,0,0,0.09523809523809523,2
13,4,1,0,0,0.0,2
0,5,2,0,0,0.09090909090909091,2
15,3,1,0,0,0.08333333333333333,2
2,0,1,2,0,0.0,1
0,1,1,0,0,0.0,1
5,0,0,0,0,0.047619047619047616,1
0,100,1,0,0,0.1,1
3,1,0,0,0,0.0,1
4,0,1,0,0,0.05555555555555555,1
2,0,1,0,0,0.05263157894736842,1
0,0,0,0,0,0.05,1
3,0,1,1,0,0.05263157894736842,1
5,0,0,1,0,0.06666666666666667,1
2,1,1,1,0,0.0,1
0,0,1,0,0,0.058823529411764705,1
3,0,3,1,0,0.125,1
2,0,0,0,0,0.0625,1
4,1,2,0,0,0.0,1
6,0,1,1,0,0.0,1
3,0,1,0,0,0.0,1
0,1,0,0,0,0.0,1
4,0,2,1,0,0.08333333333333333,1
2,0,1,0,0,0.0,1
0,1,4,0,0,0.13157894736842105,1
4,2,3,0,0,0.05714285714285714,1
3,0,2,1,0,0.06451612903225806,1
0,30,1,0,0,0.08333333333333333,1
3,1,3,1,0,0.0,1
5,0,2,1,0,0.1,1
6,1,3,0,0,0.0,1
2,0,2,0,0,0.07407407407407407,1
3,0,5,0,0,0.038461538461538464,1
0,1,2,0,0,0.03571428571428571,1
3,0,1,0,0,0.045454545454545456,1
2,0,2,0,0,0.045454545454545456,1
4,1,0,0,0,0.09523809523809523,1
0,0,1,0,0,0.0,1
2,0,2,0,0,0.07692307692307693,1
0,1,3,0,0,0.0,1
0,1,2,0,0,0.0,1
2,0,1,0,0,0.07142857142857142,1
3,0,2,0,0,0.05263157894736842,1
4,0,1,0,0,0.038461538461538464,1
3,0,3,0,0,0.06451612903225806,1
2,1,4,0,0,0.0,1
5,0,0,0,0,0.07407407407407407,1
2,0,2,0,0,0.041666666666666664,1
4,0,0,0,0,0.0,1
3,0,2,0,0,0.0,1
2,0,2,0,0,0.04,1
4,0,3,0,0,0.0,1
0,1,0,0,0,0.047619047619047616,1
5,8,0,1,0,0.08695652173913043,1
0,0,2,0,0,0.0,0
0,0,2,0,0,0.03571428571428571,0
0,0,1,0,0,0.0,0
0,0,1,0,1,0.0,0
0,0,0,0,0,0.0,0
0,0,3,0,0,0.0,0
0,0,0,0,0,0.0,0
0,0,1,0,0,0.0,0
0,0,0,0,0,0.0,0
0,0,1,0,0,0.0,0
0,0,2,0,0,0.0,0
0,0,1,0,0,0.05,0
0,0,0,0,0,0.05555555555555555,0
0,0,0,0,0,0.0,0
0,0,0,0,0,0.0,0
0,0,0,0,0,0.0,0
0,100,1,0,0,0.0,0
0,0,0,0,0,0.0,0
0,0,0,2,0,0.0,0
0,0,1,0,0,0.0,0
0,10000,1,0,0,0.0,0
0,500,2,1,0,0.0,0
0,50,2,0,0,0.0,0
0,305,1,1,0,0.0,0
0,200,0,1,0,0.0,0
0,1000,0,0,0,0.043478260869565216,0
0,70,1,2,0,0.0,0
0,1620,0,0,0,0.0,0
0,130,3,0,0,0.0,0
0,410,1,0,0,0.0,0
0,102,1,0,0,0.0,0
0,8,3,0,0,0.0,0
0,1015,0,0,0,0.0,0
0,1020,2,0,0,0.0,0
0,55,0,0,0,0.0,0
0,1030,0,0,0,0.0,0
0,2700,1,0,0,0.047619047619047616,0
0,305,3,0,0,0.0,0
0,100,0,2,0,0.0,0
0,10200,2,0,0,0.0,0
